Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
22592897968,Lousa Mágica Tela Lcd 8.5 /10 /12 Polegadas Infantil De Escrever E Desenhar Tablet,"R$11,80","24,8mil",lavvi shop,6%,"R$0,71",https://shopee.com.br/product/1208992205/22592897968,https://s.shopee.com.br/AKJLsfl9Od
21299369919,Bomba tira-leite elétrica Sem dor Alta potencia de sucção integrada Silenciosa Massageador Portátil Amamentação,"R$58,88","4,5mil",PHISENSE,6%,"R$3,53",https://shopee.com.br/product/951293280/21299369919,https://s.shopee.com.br/9UkEt8oK5U
20297670022,Cueiro Estampado Flanelado Bebê Kit 3 Unidades 80X50CM Papi/Incomfral,"R$19,99","11,4mil",Emporio DK Produtos Infantis,6%,"R$1,20",https://shopee.com.br/product/1045804093/20297670022,https://s.shopee.com.br/9KQogpoxQT
21499179448,420 Toalhas Umedecidas/3 Pacotes- Upa Bebê Promoção,"R$23,99","5,7mil",CantinhoBabysp,6%,"R$1,44",https://shopee.com.br/product/378105312/21499179448,https://s.shopee.com.br/9pN5Hkn3Pa
23192462910,Tapete Termico Infantil Bebe Estampas Atividades Educativo Tapetinho Lavável,"R$25,90","32,3mil",lojachicchic,10%,"R$2,59",https://shopee.com.br/product/423598373/23192462910,https://s.shopee.com.br/9f3f5RngkZ
23232308359,"Colchão para carrinho Moises Colchonete carrinho com fronha 100% algodao Menino, Menina e Neutro","R$27,50","16,6mil",Maratona do Bebê,14%,"R$3,85",https://shopee.com.br/product/344410462/23232308359,https://s.shopee.com.br/8pUY5uqrRQ
21699092639,Kit 7 Saquinhos Maternidade Multiuso Com Zíper Organizador Nécessaire Envelope,"R$19,99",36mil,J.R. Variedades,6%,"R$1,20",https://shopee.com.br/product/255636032/21699092639,https://s.shopee.com.br/8fB7tbrUmP
19499333667,Banheira de bebe 22L Resistente Infantil Menina Menino Design Anatômico,"R$39,99",11mil,CantinhoBabysp,6%,"R$2,40",https://shopee.com.br/product/378105312/19499333667,https://s.shopee.com.br/9A7OUWpalW
20497794376,Caranguejo Brinquedo Fujão Som Luz E Movimento Maluco Siri Carangueijo Musical QX,"R$24,80","5,6mil",QX Eletrônico,6%,"R$1,49",https://shopee.com.br/product/1197125923/20497794376,https://s.shopee.com.br/8znyIDqE6V
19297667828,Fralda Pampers Praia e Piscina Splashers Baby Shark,"R$24,99","5,3mil",Loja Duval,6%,"R$1,50",https://shopee.com.br/product/1081397690/19297667828,https://s.shopee.com.br/8AErIgtOnM
22797829056,Talheres bebê silicone 8 Peças kit Talheres Infantil Com Ventosa Canudo Colher Babador Garfo,"R$44,90","2,9mil",BHJ ELETRONICO,6%,"R$2,69",https://shopee.com.br/product/328239547/22797829056,https://s.shopee.com.br/7zvR6Nu28L
